id;description;amount;category;date;created_at
1;爬 incidentally;18960.39;if;2025-03-17;2025-03-18T11:33:18
2;as;5995.57;huzzah;2025-03-18;2025-03-17T18:45:12
3;ha brief;31181.57;till prohibition;2025-03-17;2025-03-18T13:13:58
4;扔 都 也许;18428.5;since;2025-03-17;2025-03-18T07:23:38
5;outlaw 托 fireplace;27796.6;until that;2025-03-17;2025-03-18T08:24:17
6;抱 骨碌碌;22844.36;doubter why 红;2025-03-18;2025-03-18T05:26:27
7;without;29326.16;简直 uh-huh;2025-03-18;2025-03-17T19:55:30
8;plus through that;9509.98;granny during yowza;2025-03-18;2025-03-18T12:39:15
9;快 yahoo;6127.93;互相 yahoo as;2025-03-18;2025-03-18T07:07:45
10;moment;14046.5;consequently;2025-03-17;2025-03-17T21:37:24
