id;duration;task;date;created_at
1;20453;大方 跑 inasmuch;2025-03-18;2025-03-18T07:20:13
2;19068;extent elevator;2025-03-18;2025-03-18T04:48:02
3;4453;dandelion 甜 but;2025-03-18;2025-03-18T07:47:38
4;31201;forage 干脆;2025-03-18;2025-03-18T11:42:56
5;23587;走;2025-03-18;2025-03-18T14:17:46
6;18722;consequently except 必定;2025-03-18;2025-03-18T13:34:18
7;29654;with 劈;2025-03-18;2025-03-18T04:03:03
8;18673;却 马虎;2025-03-18;2025-03-18T12:18:25
9;2777;abacus ack;2025-03-18;2025-03-17T19:43:22
10;22984;wherever doorpost athwart;2025-03-18;2025-03-18T06:00:32
