id;title;description;goal_type;deadline;completed;created_at;updated_at
1;细 bench furthermore;jogging worth 一共;SHORT_TERM;2025-03-17;true;2025-03-18T00:01:47;2025-03-18T17:51:38
2;against;yahoo fencing incidentally;SHORT_TERM;2025-03-17;false;2025-03-18T07:42:25;2025-03-18T08:28:52
3;一概;播 略微 伟大;LONG_TERM;2025-03-18;false;2025-03-17T22:53:22;2025-03-17T20:32:57
4;nor fort;全;LONG_TERM;2025-03-18;true;2025-03-18T08:21:33;2025-03-18T10:40:12
5;都 苦;难道 yowza;SHORT_TERM;2025-03-18;true;2025-03-17T19:12:37;2025-03-18T07:20:12
6;whether;摊 oh;SHORT_TERM;2025-03-18;false;2025-03-18T15:01:23;2025-03-17T20:08:29
7;scrap eek that;incandescence;SHORT_TERM;2025-03-18;true;2025-03-18T15:24:04;2025-03-18T02:55:27
8;统统 lest woot;so yippee;LONG_TERM;2025-03-18;false;2025-03-17T23:49:27;2025-03-18T04:40:53
9;language how till;veto 短 整;LONG_TERM;2025-03-18;true;2025-03-18T17:58:52;2025-03-18T09:29:12
10;oh 敲 what;finding 极;SHORT_TERM;2025-03-18;false;2025-03-18T13:10:40;2025-03-18T08:02:51
