id;name;habit_type;frequency;start_date;active
1;baritone 摘;FINANCE;骨碌碌 phew;2025-03-18;true
2;许多 仅仅 amidst;SOCIAL;excluding;2025-03-18;false
3;whereas 索性 plus;HEALTH;太 热 flint;2025-03-18;false
4;ugh;FINANCE;笔直 操作;2025-03-18;true
5;excluding or in;SOCIAL;vice 熟练 gosh;2025-03-18;false
6;whenever;SOCIAL;lounge 播 despite;2025-03-17;true
7;毅然 拖;SOCIAL;since;2025-03-18;true
8;reward;LEARNING;what 一共 百般;2025-03-18;false
9;依然 吞;WORK;or swine;2025-03-18;false
10;oof 单 except;HEALTH;特地 yet volleyball;2025-03-18;false
