id;mood;intensity;date;created_at
1;sans;14159;2025-03-18;2025-03-18T09:45:21
2;惟独 生动 absent;17336;2025-03-17;2025-03-18T09:54:25
3;ah;30531;2025-03-18;2025-03-18T10:49:16
4;behind 扶 digestive;16587;2025-03-18;2025-03-18T09:31:37
5;简直 but yum;8050;2025-03-17;2025-03-18T01:33:34
6;brook 只;22946;2025-03-17;2025-03-17T18:41:04
7;whoever the;31560;2025-03-18;2025-03-18T07:09:12
8;instead;31972;2025-03-18;2025-03-17T23:07:12
9;握 软 扶;13656;2025-03-17;2025-03-18T01:44:42
10;小;23766;2025-03-18;2025-03-18T15:19:06
